Order No,Time from Pickup to Arrival
Order_No_19248,1373.35
Order_No_12736,1213.99
Order_No_768,954.6
Order_No_15332,1023.4
Order_No_21373,1221.48
Order_No_14573,2291.62
Order_No_6731,2288.84
Order_No_18436,1390.18
Order_No_2288,1565.24
Order_No_9063,2251.39
Order_No_4814,1071.67
Order_No_16747,2659.11
Order_No_6376,1464.56
Order_No_1199,1277.44
Order_No_17119,1516.55
Order_No_14832,1130.62
Order_No_12321,796.1
Order_No_24820,1825.37
Order_No_6065,1373.55
Order_No_13176,791.61
Order_No_23557,894.61
Order_No_20488,1809.31
Order_No_24214,1281.2
Order_No_21206,1168.55
Order_No_1930,743.1
Order_No_28180,2187.94
Order_No_13329,772.06
Order_No_19004,979.18
Order_No_27510,2074.17
Order_No_25394,1704.4
Order_No_11299,2760.76
Order_No_21269,1534.0
Order_No_3565,3194.48
Order_No_6473,1182.54
Order_No_6258,811.24
Order_No_27480,1889.82
Order_No_23302,1980.61
Order_No_16731,1747.97
Order_No_21353,1744.65
Order_No_10610,1070.93
Order_No_5930,1468.9
Order_No_5171,1948.76
Order_No_21590,1462.08
Order_No_643,1136.47
Order_No_6308,1180.82
Order_No_16885,2028.72
Order_No_5421,1662.53
Order_No_21864,2435.1
Order_No_11618,1370.8
Order_No_27514,2525.86
Order_No_26356,1670.46
Order_No_20174,1167.17
Order_No_23193,2897.41
Order_No_17568,884.05
Order_No_25549,1457.64
Order_No_23942,1279.68
Order_No_25817,1573.16
Order_No_16582,2926.73
Order_No_25259,2388.42
Order_No_7311,1113.7
Order_No_6198,1519.15
Order_No_18810,981.52
Order_No_26162,1039.35
Order_No_4192,1182.16
Order_No_28224,1239.24
Order_No_15612,883.25
Order_No_21556,2073.31
Order_No_15698,1574.96
Order_No_2619,2094.68
Order_No_10710,1561.7
Order_No_17906,1038.8
Order_No_24831,1442.3
Order_No_15312,3127.53
Order_No_17599,1406.5
Order_No_8759,646.79
Order_No_18102,1843.23
Order_No_19596,2159.89
Order_No_18174,1169.52
Order_No_18641,2814.72
Order_No_7568,674.41
Order_No_23561,1503.76
Order_No_21212,853.21
Order_No_19352,2500.49
Order_No_13038,2196.79
Order_No_14688,1720.48
Order_No_5155,1217.22
Order_No_26963,1403.2
Order_No_25662,2260.44
Order_No_22324,1062.0
Order_No_4080,1093.63
Order_No_2551,1488.97
Order_No_6576,1799.49
Order_No_23150,2099.61
Order_No_12488,1646.51
Order_No_14209,944.26
Order_No_14944,1860.36
Order_No_105,1454.83
Order_No_6400,2019.49
Order_No_23670,928.44
Order_No_11927,2412.47
Order_No_672,2146.66
Order_No_24305,1402.58
Order_No_23438,840.76
Order_No_11297,2514.05
Order_No_25875,726.49
Order_No_2483,1646.53
Order_No_22525,2467.31
Order_No_85,1312.26
Order_No_25252,428.13
Order_No_16007,2318.09
Order_No_10988,1443.5
Order_No_15321,2149.53
Order_No_16080,969.79
Order_No_11090,1123.91
Order_No_21090,1515.84
Order_No_1621,1441.7
Order_No_24456,1498.07
Order_No_5036,1268.86
Order_No_15675,2244.63
Order_No_5672,1350.44
Order_No_4333,598.24
Order_No_20768,1255.88
Order_No_12336,1683.75
Order_No_12293,1603.37
Order_No_6103,1253.19
Order_No_25920,738.31
Order_No_2159,1474.36
Order_No_13215,909.43
Order_No_15620,2069.56
