Order No,Time from Pickup to Arrival
Order_No_19248,1371.51
Order_No_12736,1207.41
Order_No_768,960.38
Order_No_15332,1024.91
Order_No_21373,1221.43
Order_No_14573,2290.64
Order_No_6731,2294.2
Order_No_18436,1391.74
Order_No_2288,1556.31
Order_No_9063,2247.02
Order_No_4814,1076.67
Order_No_16747,2661.75
Order_No_6376,1467.31
Order_No_1199,1280.84
Order_No_17119,1519.83
Order_No_14832,1138.58
Order_No_12321,796.18
Order_No_24820,1811.96
Order_No_6065,1370.63
Order_No_13176,790.78
Order_No_23557,896.99
Order_No_20488,1812.75
Order_No_24214,1283.52
Order_No_21206,1187.21
Order_No_1930,746.79
Order_No_28180,2186.67
Order_No_13329,771.09
Order_No_19004,979.25
Order_No_27510,2061.15
Order_No_25394,1708.65
Order_No_11299,2759.37
Order_No_21269,1520.86
Order_No_3565,3194.6
Order_No_6473,1183.95
Order_No_6258,817.75
Order_No_27480,1899.01
Order_No_23302,1975.52
Order_No_16731,1751.9
Order_No_21353,1726.61
Order_No_10610,1066.66
Order_No_5930,1467.22
Order_No_5171,1949.39
Order_No_21590,1460.31
Order_No_643,1139.16
Order_No_6308,1178.93
Order_No_16885,2031.37
Order_No_5421,1658.52
Order_No_21864,2435.24
Order_No_11618,1368.23
Order_No_27514,2522.58
Order_No_26356,1670.14
Order_No_20174,1166.98
Order_No_23193,2885.1
Order_No_17568,888.65
Order_No_25549,1455.92
Order_No_23942,1289.85
Order_No_25817,1572.14
Order_No_16582,2933.4
Order_No_25259,2389.69
Order_No_7311,1104.01
Order_No_6198,1522.8
Order_No_18810,984.65
Order_No_26162,1038.46
Order_No_4192,1186.01
Order_No_28224,1231.51
Order_No_15612,885.0
Order_No_21556,2076.8
Order_No_15698,1582.62
Order_No_2619,2091.05
Order_No_10710,1560.05
Order_No_17906,1041.12
Order_No_24831,1442.88
Order_No_15312,3126.93
Order_No_17599,1402.48
Order_No_8759,647.88
Order_No_18102,1843.91
Order_No_19596,2169.42
Order_No_18174,1168.66
Order_No_18641,2792.29
Order_No_7568,674.39
Order_No_23561,1495.85
Order_No_21212,853.03
Order_No_19352,2503.69
Order_No_13038,2188.77
Order_No_14688,1720.97
Order_No_5155,1218.29
Order_No_26963,1398.84
Order_No_25662,2245.59
Order_No_22324,1066.26
Order_No_4080,1097.46
Order_No_2551,1489.63
Order_No_6576,1794.91
Order_No_23150,2087.98
Order_No_12488,1646.07
Order_No_14209,946.77
Order_No_14944,1855.51
Order_No_105,1458.27
Order_No_6400,2022.0
Order_No_23670,931.48
Order_No_11927,2394.22
Order_No_672,2141.45
Order_No_24305,1397.72
Order_No_23438,834.49
Order_No_11297,2493.72
Order_No_25875,732.41
Order_No_2483,1645.06
Order_No_22525,2463.41
Order_No_85,1312.0
Order_No_25252,437.49
Order_No_16007,2318.2
Order_No_10988,1438.82
Order_No_15321,2139.45
Order_No_16080,969.87
Order_No_11090,1120.98
Order_No_21090,1510.83
Order_No_1621,1442.19
Order_No_24456,1493.34
Order_No_5036,1266.22
Order_No_15675,2237.49
Order_No_5672,1350.26
Order_No_4333,598.9
Order_No_20768,1256.25
Order_No_12336,1683.83
Order_No_12293,1594.17
Order_No_6103,1251.55
Order_No_25920,732.28
Order_No_2159,1473.96
Order_No_13215,909.97
Order_No_15620,2062.64
Order_No_27406,1062.38
Order_No_3092,2956.1
Order_No_21088,903.46
Order_No_6448,1492.68
Order_No_23769,1453.4
Order_No_2640,1283.28
Order_No_19108,1764.99
Order_No_2796,1604.67
Order_No_16473,1503.49
Order_No_2754,1293.04
Order_No_2678,1564.26
Order_No_12053,2010.07
Order_No_17071,1292.55
Order_No_4656,1307.34
Order_No_27607,1664.24
Order_No_6709,1611.36
Order_No_25036,1105.84
Order_No_16694,1071.65
Order_No_24366,2490.05
Order_No_9590,1661.97
Order_No_5658,1938.05
Order_No_13152,778.39
Order_No_27538,1330.89
Order_No_2782,1176.18
Order_No_1311,639.46
Order_No_10249,2498.02
Order_No_2624,1921.49
Order_No_27601,887.03
Order_No_4252,1568.07
Order_No_22149,1482.96
Order_No_2699,2633.07
Order_No_12371,1343.08
Order_No_14848,962.92
Order_No_10438,826.53
Order_No_23513,1686.57
Order_No_9878,1217.83
Order_No_9218,1172.88
Order_No_28256,1358.89
Order_No_25676,999.85
Order_No_26922,1481.77
Order_No_7589,992.83
Order_No_124,1598.45
Order_No_14779,1295.81
Order_No_26218,1308.08
Order_No_19977,1123.87
Order_No_14440,1431.95
Order_No_9561,1212.16
Order_No_9009,752.18
Order_No_20146,2024.93
Order_No_7718,1390.38
Order_No_16083,1304.14
Order_No_3126,914.31
Order_No_801,660.21
Order_No_5373,1463.39
Order_No_7421,679.03
Order_No_602,2996.93
Order_No_9418,1506.2
Order_No_27144,1440.83
Order_No_16792,894.77
Order_No_21252,1569.38
Order_No_21129,1505.09
Order_No_18774,1726.2
Order_No_20974,1603.34
Order_No_5267,1119.84
Order_No_25107,1144.82
Order_No_611,2390.55
Order_No_13596,1918.11
Order_No_465,855.13
Order_No_2236,2423.72
Order_No_3411,871.53
Order_No_17613,1291.44
Order_No_27381,2038.31
Order_No_26072,1373.24
Order_No_19414,2297.52
Order_No_21954,2273.82
Order_No_22538,1875.24
Order_No_10756,1782.28
Order_No_23756,1786.02
Order_No_3807,2233.96
Order_No_18694,1348.81
Order_No_27245,1070.53
Order_No_12437,795.29
Order_No_27751,1235.77
Order_No_22832,1790.05
Order_No_3904,1297.62
Order_No_5230,1087.46
Order_No_13968,933.07
Order_No_23129,667.83
Order_No_25454,1292.42
Order_No_25963,1295.96
Order_No_13552,1248.07
Order_No_2495,1335.9
Order_No_5081,1053.07
Order_No_2922,1220.14
Order_No_2016,1530.23
Order_No_1104,1611.36
Order_No_27980,1157.13
Order_No_26414,1957.12
Order_No_22882,1889.36
Order_No_18730,2263.92
Order_No_22573,1463.68
Order_No_3483,1264.35
Order_No_23613,1276.95
Order_No_13591,1603.75
Order_No_11271,1200.6
Order_No_26896,1356.98
Order_No_8184,1233.15
Order_No_19027,2835.38
Order_No_1146,1468.74
Order_No_192,1184.93
Order_No_14758,656.1
Order_No_23931,964.07
Order_No_9924,2084.4
Order_No_21201,1707.39
Order_No_12726,983.5
Order_No_25899,881.61
Order_No_26621,1677.31
Order_No_17483,1715.52
Order_No_2943,1826.86
Order_No_6923,1245.22
Order_No_181,2179.05
Order_No_19543,1355.5
Order_No_11022,1899.95
Order_No_16940,2047.77
Order_No_22316,1390.54
Order_No_24662,1572.47
Order_No_7034,2838.33
Order_No_13090,1042.77
Order_No_761,756.12
Order_No_25720,1166.44
Order_No_12467,2021.41
Order_No_16527,787.57
Order_No_15886,1479.89
Order_No_14129,1117.37
Order_No_22079,4561.61
Order_No_9552,1354.54
Order_No_28093,964.26
Order_No_3167,1124.35
Order_No_18111,703.74
Order_No_10981,1177.71
Order_No_17959,2526.27
Order_No_19855,691.52
Order_No_21278,1820.97
Order_No_5819,2380.05
Order_No_26651,1037.54
Order_No_6273,997.22
Order_No_15656,1112.03
Order_No_22,2174.21
Order_No_17367,2815.46
Order_No_257,1428.51
Order_No_15175,2225.89
Order_No_546,2074.36
Order_No_20915,920.34
Order_No_22885,1307.66
Order_No_4613,2773.36
Order_No_5473,1206.29
Order_No_4698,1031.03
Order_No_5638,1645.34
Order_No_20471,2515.69
Order_No_17954,1546.99
Order_No_14468,3128.96
Order_No_2968,1708.75
Order_No_24419,1331.31
Order_No_7674,2556.74
Order_No_26560,762.52
Order_No_15611,1248.99
Order_No_15085,2044.28
Order_No_1440,1832.97
Order_No_18237,1591.67
Order_No_8092,1644.01
Order_No_529,1597.73
Order_No_22717,1433.08
Order_No_3509,1323.71
Order_No_26201,1589.98
Order_No_20497,1100.24
Order_No_12558,1687.24
Order_No_23463,1043.13
Order_No_18978,2346.08
Order_No_5508,1756.52
Order_No_11317,720.68
Order_No_13632,1385.69
Order_No_3751,2003.98
Order_No_27592,2789.49
Order_No_25276,2095.26
Order_No_18188,1793.26
Order_No_27593,1554.88
Order_No_2022,1262.59
Order_No_4713,1052.38
Order_No_23001,1491.73
Order_No_9222,1891.91
Order_No_3417,1716.84
Order_No_3133,1290.51
Order_No_1571,1409.52
Order_No_14300,2243.06
Order_No_4825,894.12
Order_No_26248,1426.34
Order_No_22868,1239.22
Order_No_793,1205.41
Order_No_891,2575.89
Order_No_6505,1492.55
Order_No_12415,1586.38
Order_No_5850,1426.75
Order_No_12144,1874.43
Order_No_7476,1476.05
Order_No_20096,2227.74
Order_No_13743,1536.11
Order_No_4724,1447.97
Order_No_13814,1935.76
Order_No_15469,1559.37
Order_No_5324,1633.68
Order_No_11383,2787.05
Order_No_11795,1585.94
Order_No_28131,1648.28
Order_No_9343,1628.03
Order_No_14195,1366.3
Order_No_2454,1987.13
Order_No_26609,1089.25
Order_No_28252,1859.26
Order_No_23205,2447.38
Order_No_9462,1688.4
Order_No_5007,2267.84
Order_No_19715,1391.47
Order_No_18543,1192.76
Order_No_4723,905.02
Order_No_8211,2492.16
Order_No_20360,1507.66
Order_No_24462,2597.04
Order_No_25386,1059.59
Order_No_26627,3012.51
Order_No_26824,1053.77
Order_No_16072,1449.53
Order_No_26274,2043.8
Order_No_24873,1862.02
Order_No_2196,1040.78
Order_No_6178,2072.43
Order_No_4860,1194.32
Order_No_15161,3398.88
Order_No_17712,1114.08
Order_No_19520,2480.56
Order_No_1723,1652.0
Order_No_8405,834.44
Order_No_15590,1660.52
Order_No_19280,3092.38
Order_No_19525,1920.28
Order_No_12356,1006.84
Order_No_22797,1764.86
Order_No_14572,1480.71
Order_No_24329,1350.17
Order_No_8204,1660.23
Order_No_24862,1367.69
Order_No_7993,1385.34
Order_No_25182,894.7
Order_No_26175,2276.48
Order_No_22936,1809.8
Order_No_9627,1000.53
Order_No_21478,736.63
Order_No_2713,1391.74
Order_No_12912,1468.68
Order_No_9733,1596.03
Order_No_27705,1321.4
Order_No_24072,1652.31
Order_No_6066,855.15
Order_No_23990,2460.29
Order_No_15876,1329.72
Order_No_9212,2272.47
Order_No_11773,2217.09
Order_No_17001,2394.81
Order_No_19824,1533.59
Order_No_7583,1817.86
Order_No_23644,1211.56
Order_No_27423,1974.15
Order_No_1309,2052.43
Order_No_5014,838.35
Order_No_27602,2902.79
Order_No_2683,1432.76
Order_No_16570,804.72
Order_No_5495,1204.06
Order_No_11062,1598.66
Order_No_15357,938.41
Order_No_20901,1580.29
Order_No_3808,1627.93
Order_No_25818,2149.82
Order_No_3542,796.23
Order_No_22955,1697.89
Order_No_5028,2395.35
Order_No_13893,1892.7
Order_No_16106,1542.25
Order_No_7035,3101.9
Order_No_23600,1015.2
Order_No_10096,2386.53
Order_No_4422,1537.63
Order_No_10341,1563.8
Order_No_4605,1664.19
Order_No_25427,976.47
Order_No_860,2212.22
Order_No_11938,791.77
Order_No_13777,1850.06
Order_No_19433,596.38
Order_No_7271,2056.54
Order_No_3128,1521.98
Order_No_24648,1768.36
Order_No_7965,1265.49
Order_No_23539,3306.69
Order_No_620,1588.18
Order_No_16350,1137.28
Order_No_13676,1065.68
Order_No_20882,1045.24
Order_No_3166,2609.04
Order_No_3996,1242.53
Order_No_13507,837.31
Order_No_6049,1681.55
Order_No_11012,1899.24
Order_No_7826,1852.09
Order_No_11432,1557.21
Order_No_23548,1797.69
Order_No_7735,799.75
Order_No_2526,897.48
Order_No_2752,882.08
Order_No_9824,1847.92
Order_No_1993,2641.47
Order_No_715,1369.13
Order_No_287,1733.45
Order_No_13954,1829.13
Order_No_25369,990.61
Order_No_21794,1235.98
Order_No_23016,1657.24
Order_No_27703,1096.58
Order_No_22610,1887.9
Order_No_26104,1642.93
Order_No_9200,1406.16
Order_No_3963,652.26
Order_No_24998,1198.09
Order_No_24952,1806.84
Order_No_16235,2129.19
Order_No_15692,823.71
Order_No_1732,1368.37
Order_No_13963,1254.12
Order_No_25436,966.29
Order_No_12173,1237.53
Order_No_8096,1839.57
Order_No_16354,1381.8
Order_No_4998,1431.28
Order_No_19767,1406.77
Order_No_17583,1717.48
Order_No_20165,1220.36
Order_No_27413,2221.56
Order_No_18577,1107.67
Order_No_27366,1191.73
Order_No_2182,1131.48
Order_No_23384,1751.38
Order_No_23544,1095.12
Order_No_25780,1567.25
Order_No_24473,1611.51
Order_No_1017,1585.79
Order_No_4219,1408.05
Order_No_26712,1566.12
Order_No_12769,1139.85
Order_No_23300,2336.74
Order_No_12204,1469.54
Order_No_15798,695.37
Order_No_22980,1295.53
Order_No_7451,961.64
Order_No_22233,1091.82
Order_No_21329,1593.26
Order_No_3821,1497.39
Order_No_15311,1239.15
Order_No_2634,1300.94
Order_No_13267,1187.71
Order_No_18825,2029.51
Order_No_1226,1058.09
Order_No_23290,1366.07
Order_No_5187,1510.72
Order_No_24109,2646.08
Order_No_20780,749.29
Order_No_21195,731.7
Order_No_20277,1347.57
Order_No_25197,767.74
Order_No_4300,789.65
Order_No_8640,2598.34
Order_No_7512,3101.18
Order_No_1820,2247.26
Order_No_18556,2553.46
Order_No_23927,2114.64
Order_No_8005,1583.69
Order_No_2549,1760.19
Order_No_27750,891.52
Order_No_24292,1031.64
Order_No_6218,2582.33
Order_No_26297,1017.79
Order_No_26382,1760.68
Order_No_2933,688.29
Order_No_1643,3643.42
Order_No_1795,1473.18
Order_No_19055,1043.42
Order_No_16755,1803.7
Order_No_7552,1090.75
Order_No_954,1501.31
Order_No_13396,809.27
Order_No_272,963.78
Order_No_7526,1417.83
Order_No_7639,835.78
Order_No_362,1494.44
Order_No_11265,2005.14
Order_No_19991,1217.03
Order_No_2898,1712.09
Order_No_24041,1648.9
Order_No_9306,1563.31
Order_No_24256,2941.35
Order_No_3358,1772.39
Order_No_18458,1711.4
Order_No_24037,1041.15
Order_No_21745,1352.15
Order_No_24791,1946.75
Order_No_6329,528.59
Order_No_8694,1198.48
Order_No_27757,1213.27
Order_No_4758,1419.29
Order_No_14631,1558.34
Order_No_3434,1886.75
Order_No_13846,2620.26
Order_No_12622,1427.65
Order_No_9441,2660.32
Order_No_90,2603.41
Order_No_7946,2371.4
Order_No_1197,3125.23
Order_No_1201,2393.3
Order_No_23299,2057.88
Order_No_21272,1178.93
Order_No_23873,1685.21
Order_No_12427,1150.59
Order_No_22203,1624.8
Order_No_18445,1232.81
Order_No_26717,1373.96
Order_No_22256,862.88
Order_No_18400,2106.39
Order_No_9350,1396.12
Order_No_19162,1873.84
Order_No_14922,886.44
Order_No_2131,1088.3
Order_No_23408,1659.84
Order_No_2149,1664.29
Order_No_10310,2054.25
Order_No_8168,1735.27
Order_No_2601,903.52
Order_No_13698,3154.22
Order_No_26624,1606.14
Order_No_27107,987.31
Order_No_5323,897.76
Order_No_22269,620.91
Order_No_21736,1412.1
Order_No_11521,1396.8
Order_No_22671,1105.62
Order_No_7912,937.79
Order_No_5344,775.67
Order_No_21928,783.47
Order_No_7074,726.99
Order_No_13915,2207.78
Order_No_24101,2010.54
Order_No_18299,1125.85
Order_No_15816,940.11
Order_No_24483,908.19
Order_No_20072,2508.12
Order_No_14156,1744.3
Order_No_18214,810.36
Order_No_18224,2280.61
Order_No_11799,1192.73
Order_No_22357,2059.68
Order_No_25600,2575.04
Order_No_8407,941.28
Order_No_6064,1209.34
Order_No_6036,1589.72
Order_No_9128,973.23
Order_No_1426,1293.96
